"Bevolking; geslacht, leeftijd en burgerlijke staat, 1 januari"
"Onderwerp: |Bevolking"
"Burgerlijke staat: Totaal burgerlijke staat"
"Perioden: 2020"
"Geslacht: Totaal mannen en vrouwen"
""
"Leeftijd";"aantal"
"0 tot 5 jaar";"861472"
"5 tot 10 jaar";"911423"
"10 tot 15 jaar";"953204"
"15 tot 20 jaar";"1049158"
"20 tot 25 jaar";"1094585"
"25 tot 30 jaar";"1138965"
"30 tot 35 jaar";"1102103"
"35 tot 40 jaar";"1045828"
"40 tot 45 jaar";"1022008"
"45 tot 50 jaar";"1186068"
"50 tot 55 jaar";"1281826"
"55 tot 60 jaar";"1250592"
"60 tot 65 jaar";"1117798"
"65 tot 70 jaar";"996048"
"70 tot 75 jaar";"941219"
"75 tot 80 jaar";"633200"
"80 tot 85 jaar";"436056"
"85 tot 90 jaar";"256201"
"90 tot 95 jaar";"103118"
"95 jaar of ouder";"26713"
"95 tot 100 jaar";"24315"
"100 jaar of ouder";"2398"
"Bron: CBS"
